PRICE,YEAR,MILEAGE,CITY,STATE,MAKE,Predicted PRICE,,MODEL
24500,2014,42784,245,40,8,27950.54083,,1394
9455,2008,117437,317,5,8,9775.30419,,3040
39995,2015,33468,335,3,8,30585.3647,,3040
21831,2013,69213,200,9,8,22710.88622,,3040
28700,2014,38694,135,6,8,28704.55838,,3040
24600,2015,33479,637,2,8,30586.80577,,3039
35145,2016,11624,433,22,8,35097.63571,,3039
14997,2014,30422,510,10,8,30036.81428,,3038
23900,2014,31051,637,31,8,29866.98135,,3037
22690,2014,38457,329,5,8,28746.35129,,3037
17999,2014,18728,648,27,8,31883.67971,,3037
21358,2017,4705,125,5,8,37298.80658,,3037
31888,2011,68025,104,5,8,20874.26387,,3036
18995,2012,71928,137,1,8,21273.83128,,3036
19492,2011,66235,192,9,8,21152.46432,,3036
44981,2014,33120,81,9,8,29601.33777,,3036
38470,2014,46162,468,5,8,27493.46246,,3036
23896,2014,29392,63,1,8,30233.2824,,3036
13995,2008,126469,434,5,8,8306.670667,,3036
10200,2009,97800,81,5,8,13989.8768,,3035
41845,2017,9075,280,9,8,36575.36131,,3035
34900,2016,18272,81,1,8,34084.22608,,3035
26990,2014,26075,21,15,8,30727.62549,,3035
44000,2017,18,645,22,8,38006.28416,,3035
39300,2015,18993,68,2,8,32942.40736,,3035
37989,2015,45899,31,28,8,28483.60231,,3035
98966,2012,19626,159,2,8,29775.39482,,3035
40479,2017,10041,429,1,8,36444.01996,,3035
28888,2014,47877,71,2,8,27224.25274,,3035
17789,2013,69191,585,39,8,22618.00518,,3035
28900,2013,65472,372,1,8,23345.00687,,3035
29499,2017,15353,63,1,8,35580.24171,,3035
19577,2015,74568,236,9,8,23882.89864,,3035
98888,2012,10418,647,9,8,31250.20056,,3033
16995,2014,15450,30,19,8,32442.50003,,3033
24500,2013,48427,23,9,8,26090.96087,,3033
13622,2011,92608,82,9,8,16864.01818,,3033
27940,2014,57438,753,3,8,25666.35694,,3033
18998,2013,61111,192,25,8,23976.9525,,3033
49991,2017,4998,1717,30,8,37170.77808,,3033
45430,2017,3585,408,11,8,37461.67407,,3033
24009,2013,51147,364,17,8,25622.92597,,3033
37999,2017,4505,406,21,8,37279.90041,,3033
24500,2014,60661,22,12,8,25113.31243,,3033
29871,2014,35542,106,38,8,29114.2332,,3033
22990,2015,47055,1722,28,8,28295.65131,,3033
28495,2015,28425,62,9,8,31386.184,,3033
22490,2015,76834,131,5,8,23527.32122,,3033
9995,2011,99870,601,3,8,15702.45676,,3033
59950,2017,5432,553,4,8,37183.85697,,3033
28999,2013,42345,295,17,8,27054.20913,,3033
47886,2017,4597,436,2,8,37326.07007,,3033
55991,2015,42820,310,22,8,29003.60393,,3033
33886,2016,54402,140,3,8,28202.75819,,3033
11500,2010,93078,361,18,8,15737.27548,,3033
13975,2012,99636,248,28,8,16681.43384,,3033
21991,2014,19026,524,17,8,31867.45788,,3032
