PRICE,YEAR,MILEAGE,CITY,STATE,MAKE,MODEL
24500,2014,42784,245,40,8,1394
9455,2008,117437,317,5,8,3040
39995,2015,33468,335,3,8,3040
21831,2013,69213,200,9,8,3040
28700,2014,38694,135,6,8,3040
24600,2015,33479,637,2,8,3039
35145,2016,11624,433,22,8,3039
14997,2014,30422,510,10,8,3038
23900,2014,31051,637,31,8,3037
22690,2014,38457,329,5,8,3037
17999,2014,18728,648,27,8,3037
21358,2017,4705,125,5,8,3037
31888,2011,68025,104,5,8,3036
18995,2012,71928,137,1,8,3036
19492,2011,66235,192,9,8,3036
44981,2014,33120,81,9,8,3036
38470,2014,46162,468,5,8,3036
23896,2014,29392,63,1,8,3036
13995,2008,126469,434,5,8,3036
10200,2009,97800,81,5,8,3035
41845,2017,9075,280,9,8,3035
34900,2016,18272,81,1,8,3035
26990,2014,26075,21,15,8,3035
44000,2017,18,645,22,8,3035
39300,2015,18993,68,2,8,3035
37989,2015,45899,31,28,8,3035
98966,2012,19626,159,2,8,3035
40479,2017,10041,429,1,8,3035
28888,2014,47877,71,2,8,3035
17789,2013,69191,585,39,8,3035
28900,2013,65472,372,1,8,3035
29499,2017,15353,63,1,8,3035
19577,2015,74568,236,9,8,3035
98888,2012,10418,647,9,8,3033
16995,2014,15450,30,19,8,3033
24500,2013,48427,23,9,8,3033
13622,2011,92608,82,9,8,3033
27940,2014,57438,753,3,8,3033
18998,2013,61111,192,25,8,3033
49991,2017,4998,1717,30,8,3033
45430,2017,3585,408,11,8,3033
24009,2013,51147,364,17,8,3033
37999,2017,4505,406,21,8,3033
24500,2014,60661,22,12,8,3033
29871,2014,35542,106,38,8,3033
22990,2015,47055,1722,28,8,3033
28495,2015,28425,62,9,8,3033
22490,2015,76834,131,5,8,3033
9995,2011,99870,601,3,8,3033
59950,2017,5432,553,4,8,3033
28999,2013,42345,295,17,8,3033
47886,2017,4597,436,2,8,3033
55991,2015,42820,310,22,8,3033
33886,2016,54402,140,3,8,3033
11500,2010,93078,361,18,8,3033
13975,2012,99636,248,28,8,3033
21991,2014,19026,524,17,8,3032
39995,2015,25885,841,10,8,3032
17595,2009,66729,247,9,8,3032
35646,2017,3767,77,10,8,3032
37995,2015,58246,704,32,8,3031
16995,2011,41395,353,9,8,3029
38977,2017,6336,335,9,8,3029
21999,2014,26422,245,9,8,3029
17377,2009,117581,438,28,8,3029
33995,2015,21913,589,2,8,3029
17225,2015,32898,26,14,8,3029
35990,2013,29017,158,9,8,3028
9991,2009,71770,434,21,8,3028
39900,2014,33337,310,19,8,3028
23500,2013,30588,585,36,8,3028
15495,2011,81661,135,13,8,3028
39994,2016,14210,101,2,8,3028
25971,2015,33512,129,10,8,3028
28990,2014,26914,328,17,8,3028
24977,2014,30188,1796,1,8,3028
26980,2014,37035,388,28,8,3028
17548,2013,78014,387,2,8,3028
22430,2014,68346,372,17,8,3028
20980,2009,80430,81,19,8,3028
11799,2008,69599,1234,33,8,3028
21700,2013,48379,56,13,8,3028
32995,2016,17678,28,17,8,3028
33890,2015,19794,363,17,8,3028
25987,2015,46551,1814,19,8,3028
15795,2014,44984,650,38,8,3028
10375,2007,111008,223,21,8,3028
40988,2015,18189,29,16,8,3028
52900,2017,9314,424,5,8,3028
33495,2017,5186,395,11,8,3028
12900,2007,101922,317,21,8,3028
19907,2015,23664,99,28,8,3028
19693,2017,30189,116,9,8,3028
14451,2015,31239,509,9,8,3028
17000,2012,46289,248,18,8,3028
13995,2013,101960,101,36,8,3028
24350,2013,52125,78,5,8,3027
18250,2016,3713,427,17,8,3027
22589,2007,72317,61,24,8,3026
41100,2015,60694,197,17,8,3026
9999,2008,117171,31,2,8,3026
17200,2012,92560,339,9,8,3026
38750,2014,46643,92,9,8,3026
40995,2015,26228,71,10,8,3026
10995,2008,74761,321,39,8,3026
7999,2010,156883,81,33,8,3026
38190,2014,41382,388,1,8,3026
42975,2017,14171,302,11,8,3026
6994,2005,135235,220,24,8,3026
17400,2011,88870,688,1,8,3026
3750,1997,75845,302,38,8,3026
7980,2009,39227,1348,27,8,3026
19470,2014,46101,223,16,8,3026
35999,2014,53570,136,18,8,3025
32500,2014,32226,68,5,8,3025
19865,2015,33142,555,41,8,3025
37900,2017,7925,197,35,8,3025
6478,2005,127323,58,1,8,3025
19999,2014,17360,1898,17,8,3024
17998,2014,54140,199,9,8,3024
20995,2014,20995,321,14,8,3024
12995,2011,83619,417,1,8,3024
14995,2011,87055,632,1,8,3024
41880,2013,36068,447,2,8,3024
32988,2013,66357,1104,17,8,3024
46988,2017,10503,1593,14,8,3024
32995,2014,38164,926,3,8,3024
30975,2015,29839,502,3,8,3024
27300,2014,35938,182,16,8,3024
23950,2014,35910,182,17,8,3024
37993,2014,15615,633,25,8,3024
38387,2015,24084,373,5,8,3024
40999,2014,25389,388,18,8,3024
16595,2015,14166,56,3,8,3024
8495,2006,98481,380,19,8,3024
19770,2012,60811,307,12,8,3024
17500,2011,84800,619,5,8,3024
32897,2014,51240,491,19,8,3024
36888,2017,6851,370,5,8,3024
29998,2015,39054,1401,1,8,3024
13385,2012,41400,628,10,8,3024
14499,2016,18046,151,3,8,3024
13981,2015,45447,555,25,8,3024
19995,2014,43222,383,2,8,3024
23500,2014,67604,93,31,8,3023
21883,2015,16851,422,14,8,3022
